ENSG	NCBI	HGNCID	chr	uniprot	symbol	name
ENSG00000127870	6049	HGNC:10069	13q12.13	Q9Y252	RNF6	ring finger protein 6
ENSG00000114125	9616	HGNC:10070	3q23	Q9UBF6	RNF7	ring finger protein 7
ENSG00000112130	9025	HGNC:10071	6p21.2	O76064	RNF8	ring finger protein 8
ENSG00000204613	10107	HGNC:10072	6p22.1	Q9UDY6	TRIM10	tripartite motif containing 10
ENSG00000111880	8732	HGNC:10073	6q15	O60942	RNGTT	RNA guanylyltransferase and 5'-phosphatase
ENSG00000023191	6050	HGNC:10074	11p15.5	P13489	RNH1	ribonuclease/angiogenin inhibitor 1
ENSG00000101654	8731	HGNC:10075	18p11.21	O43148	RNMT	RNA guanine-7 methyltransferase
ENSG00000176393	6051	HGNC:10078	1q32.1	Q9H4A4	RNPEP	arginyl aminopeptidase
ENSG00000142327	57140	HGNC:10079	2q37.3	Q9HAU8	RNPEPL1	arginyl aminopeptidase like 1
ENSG00000116128	607	HGNC:1008	1q21.2	O00512	BCL9	B cell CLL/lymphoma 9
ENSG00000205937	10921	HGNC:10080	16p13.3	Q15287	RNPS1	RNA binding protein with serine rich domain 1
ENSG00000213199	9311	HGNC:101	7q36.1	Q9UHC3	ASIC3	acid sensing ion channel subunit 3
ENSG00000128617	611	HGNC:1012	7q32.1	P03999	OPN1SW	opsin 1, short wave sensitive
ENSG00000186716	613	HGNC:1014	22q11.23	P11274	BCR	BCR, RhoGEF and GTPase activating protein
ENSG00000119946	26507	HGNC:102	10q24.2	Q9NRU3	CNNM1	cyclin and CBS domain divalent metal cation transport mediator 1
ENSG00000074582	617	HGNC:1020	2q35	Q9Y276	BCS1L	BCS1 homolog, ubiquinol-cytochrome c reductase complex chaperone
ENSG00000164902	51808	HGNC:10241	5q23.2	Q9H814	PHAX	phosphorylated adaptor for RNA export
ENSG00000169855	6091	HGNC:10249	3p12.3	Q9Y6N7	ROBO1	roundabout guidance receptor 1
ENSG00000185008	6092	HGNC:10250	3p12.3	Q9HCK4	ROBO2	roundabout guidance receptor 2
ENSG00000067900	6093	HGNC:10251	18q11.1	Q13464	ROCK1	Rho associated coiled-coil containing protein kinase 1
ENSG00000134318	9475	HGNC:10252	2p25.1	O75116	ROCK2	Rho associated coiled-coil containing protein kinase 2
ENSG00000119314	9991	HGNC:10253	9q32	O95758	PTBP3	polypyrimidine tract binding protein 3
ENSG00000149489	6094	HGNC:10254	11q13	Q03395	ROM1	retinal outer segment membrane protein 1
ENSG00000185483	4919	HGNC:10256	1p31.3	Q01973	ROR1	receptor tyrosine kinase like orphan receptor 1
ENSG00000169071	4920	HGNC:10257	9q22.31	Q01974	ROR2	receptor tyrosine kinase like orphan receptor 2
ENSG00000069667	6095	HGNC:10258	15q22.2	P35398	RORA	RAR related orphan receptor A
ENSG00000198963	6096	HGNC:10259	9q21.13	Q92753	RORB	RAR related orphan receptor B
ENSG00000143365	6097	HGNC:10260	1q21	P51449	RORC	RAR related orphan receptor C
ENSG00000047936	6098	HGNC:10261	6q22.1	P08922	ROS1	ROS proto-oncogene 1, receptor tyrosine kinase
ENSG00000104237	107984125	HGNC:10263	8q11.23-q12.1	P56715	RP1	RP1, axonemal microtubule associated
ENSG00000104237	6101	HGNC:10263	8q11.23-q12.1	P56715	RP1	RP1, axonemal microtubule associated
ENSG00000161267	622	HGNC:1027	3q29	Q02338	BDH1	3-hydroxybutyrate dehydrogenase 1
ENSG00000102218	6102	HGNC:10274	Xp11.3	O75695	RP2	RP2, ARL3 GTPase activating protein
ENSG00000164610	6100	HGNC:10288	7p14.3	Q8TA86	RP9	RP9, pre-mRNA splicing factor
ENSG00000132383	6117	HGNC:10289	17p13.3	P27694	RPA1	replication protein A1
ENSG00000100739	623	HGNC:1029	14q32.2	P46663	BDKRB1	bradykinin receptor B1
ENSG00000117748	6118	HGNC:10290	1p35.3	P15927	RPA2	replication protein A2
ENSG00000106399	6119	HGNC:10291	7p21.3	P35244	RPA3	replication protein A3
ENSG00000197713	6120	HGNC:10293	2q34	Q96AT9	RPE	ribulose-5-phosphate-3-epimerase
ENSG00000116745	6121	HGNC:10294	1p31.3	Q16518	RPE65	RPE65, retinoid isomerohydrolase
ENSG00000156313	6103	HGNC:10295	Xp11.4	Q92834	RPGR	retinitis pigmentosa GTPase regulator
ENSG00000181031	9501	HGNC:10296	17p13.3	Q9UNE2	RPH3AL	rabphilin 3A like (without C2 domains)
ENSG00000153574	22934	HGNC:10297	2p11.2	P49247	RPIA	ribose 5-phosphate isomerase A
ENSG00000147403	6134	HGNC:10298	Xq28	P27635	RPL10	ribosomal protein L10
ENSG00000198755	4736	HGNC:10299	6p21.31	P62906	RPL10A	ribosomal protein L10a
ENSG00000148842	54805	HGNC:103	10q24.32	Q9H8M5	CNNM2	cyclin and CBS domain divalent metal cation transport mediator 2
ENSG00000168398	624	HGNC:1030	14q32.2	P30411	BDKRB2	bradykinin receptor B2
ENSG00000142676	6135	HGNC:10301	1p36.11	P62913	RPL11	ribosomal protein L11
ENSG00000197958	6136	HGNC:10302	9q33.3	P30050	RPL12	ribosomal protein L12
ENSG00000167526	6137	HGNC:10303	16q24.3	P26373	RPL13	ribosomal protein L13
ENSG00000142541	23521	HGNC:10304	19q13.33	P40429	RPL13A	ribosomal protein L13a
ENSG00000188846	9045	HGNC:10305	3p22.1	P50914	RPL14	ribosomal protein L14
ENSG00000174748	6138	HGNC:10306	3p24.2	P61313	RPL15	ribosomal protein L15
ENSG00000265681	6139	HGNC:10307	18q21.1	P18621	RPL17	ribosomal protein L17
ENSG00000063177	6141	HGNC:10310	19q13.33	Q07020	RPL18	ribosomal protein L18
ENSG00000105640	6142	HGNC:10311	19p13.11	Q02543	RPL18A	ribosomal protein L18a
ENSG00000108298	6143	HGNC:10312	17q12	P84098	RPL19	ribosomal protein L19
ENSG00000122026	6144	HGNC:10313	13q12.2	P46778	RPL21	ribosomal protein L21
ENSG00000116251	6146	HGNC:10315	1p36.31	P35268	RPL22	ribosomal protein L22
ENSG00000125691	9349	HGNC:10316	17q12	P62829	RPL23	ribosomal protein L23
ENSG00000198242	6147	HGNC:10317	17q11.2	P62750	RPL23A	ribosomal protein L23a
ENSG00000214026	6150	HGNC:10322	11p15.5	Q16540	MRPL23	mitochondrial ribosomal protein L23
ENSG00000214026	107987373	HGNC:10322	11p15.5	Q16540	MRPL23	mitochondrial ribosomal protein L23
ENSG00000114391	6152	HGNC:10325	3q12.3	P83731	RPL24	ribosomal protein L24
ENSG00000161970	6154	HGNC:10327	17p13.1	P61254	RPL26	ribosomal protein L26
ENSG00000131469	6155	HGNC:10328	17q21	P61353	RPL27	ribosomal protein L27
ENSG00000166441	6157	HGNC:10329	11p15	P46776	RPL27A	ribosomal protein L27a
ENSG00000176697	627	HGNC:1033	11p14.1	P23560	BDNF	brain derived neurotrophic factor
ENSG00000108107	6158	HGNC:10330	19q13.4	P46779	RPL28	ribosomal protein L28
ENSG00000162244	6159	HGNC:10331	3p21.2	P47914	RPL29	ribosomal protein L29
ENSG00000100316	6122	HGNC:10332	22q13.1	P39023	RPL3	ribosomal protein L3
ENSG00000156482	6156	HGNC:10333	8q22.2	P62888	RPL30	ribosomal protein L30
ENSG00000071082	6160	HGNC:10334	2q11.2	P62899	RPL31	ribosomal protein L31
ENSG00000144713	6161	HGNC:10336	3p25.2	P62910	RPL32	ribosomal protein L32
ENSG00000126581	8678	HGNC:1034	17q21.31	Q14457	BECN1	beclin 1
ENSG00000109475	6164	HGNC:10340	4q25	P49207	RPL34	ribosomal protein L34
ENSG00000136942	11224	HGNC:10344	9q33.3	P42766	RPL35	ribosomal protein L35
ENSG00000182899	6165	HGNC:10345	3q29	P18077	RPL35A	ribosomal protein L35a
ENSG00000165502	6166	HGNC:10346	14q21.3	Q969Q0	RPL36AL	ribosomal protein L36a like
ENSG00000145592	6167	HGNC:10347	5p13.1	P61927	RPL37	ribosomal protein L37
ENSG00000197756	6168	HGNC:10348	2q35	P61513	RPL37A	ribosomal protein L37a
ENSG00000172809	6169	HGNC:10349	17q25.1	P63173	RPL38	ribosomal protein L38
ENSG00000198918	6170	HGNC:10350	Xq24	P62891	RPL39	ribosomal protein L39
ENSG00000140986	6123	HGNC:10351	16p13.3	Q92901	RPL3L	ribosomal protein L3 like
ENSG00000174444	6124	HGNC:10353	15q22.31	P36578	RPL4	ribosomal protein L4
ENSG00000241343	6173	HGNC:10359	Xq22.1	P83881	RPL36A	ribosomal protein L36a
ENSG00000133169	55859	HGNC:1036	Xq22.1	Q9HBH7	BEX1	brain expressed X-linked 1
ENSG00000122406	6125	HGNC:10360	1p22.1	P46777	RPL5	ribosomal protein L5
ENSG00000089009	6128	HGNC:10362	12q24.13	Q02878	RPL6	ribosomal protein L6
ENSG00000147604	6129	HGNC:10363	8q21.11	P18124	RPL7	ribosomal protein L7
ENSG00000148303	6130	HGNC:10364	9q34.2	P62424	RPL7A	ribosomal protein L7a
ENSG00000161016	6132	HGNC:10368	8q24.3	P62917	RPL8	ribosomal protein L8
ENSG00000163682	6133	HGNC:10369	4p14	P32969	RPL9	ribosomal protein L9
ENSG00000243649	629	HGNC:1037	6p21.33	P00751	CFB	complement factor B
ENSG00000089157	6175	HGNC:10371	12q24.23	P05388	RPLP0	ribosomal protein lateral stalk subunit P0
ENSG00000137818	6176	HGNC:10372	15q23	P05386	RPLP1	ribosomal protein lateral stalk subunit P1
ENSG00000177600	6181	HGNC:10377	11p15.5	P05387	RPLP2	ribosomal protein lateral stalk subunit P2
ENSG00000262814	6182	HGNC:10378	17q25.3	P52815	MRPL12	mitochondrial ribosomal protein L12
ENSG00000114686	11222	HGNC:10379	3q22.1	P09001	MRPL3	mitochondrial ribosomal protein L3
ENSG00000128626	6183	HGNC:10380	19q13.2	O15235	MRPS12	mitochondrial ribosomal protein S12
ENSG00000163902	6184	HGNC:10381	3q21.3	P04843	RPN1	ribophorin I
ENSG00000118705	6185	HGNC:10382	20q11.23	P04844	RPN2	ribophorin II
ENSG00000124614	6204	HGNC:10383	6p21.31	P46783	RPS10	ribosomal protein S10
ENSG00000142534	6205	HGNC:10384	19q13.3	P62280	RPS11	ribosomal protein S11
ENSG00000112306	6206	HGNC:10385	6q23.2	P25398	RPS12	ribosomal protein S12
ENSG00000110700	6207	HGNC:10386	11p15.1	P62277	RPS13	ribosomal protein S13
ENSG00000164587	6208	HGNC:10387	5q33.1	P62263	RPS14	ribosomal protein S14
ENSG00000115268	6209	HGNC:10388	19p13.3	P62841	RPS15	ribosomal protein S15
ENSG00000134419	6210	HGNC:10389	16p12.3	P62244	RPS15A	ribosomal protein S15a
ENSG00000105193	6217	HGNC:10396	19q13.1	P62249	RPS16	ribosomal protein S16
ENSG00000182774	6218	HGNC:10397	15q25.2	P08708	RPS17	ribosomal protein S17
ENSG00000168763	26505	HGNC:104	2q11.2	Q8NE01	CNNM3	cyclin and CBS domain divalent metal cation transport mediator 3
ENSG00000125864	631	HGNC:1040	20p12.1	Q12934	BFSP1	beaded filament structural protein 1
ENSG00000231500	6222	HGNC:10401	6p21.32	P62269	RPS18	ribosomal protein S18
ENSG00000105372	6223	HGNC:10402	19q13.2	P39019	RPS19	ribosomal protein S19
ENSG00000140988	6187	HGNC:10404	16p13.3	P15880	RPS2	ribosomal protein S2
ENSG00000008988	6224	HGNC:10405	8q12.1	P60866	RPS20	ribosomal protein S20
ENSG00000171858	6227	HGNC:10409	20q13.33	P63220	RPS21	ribosomal protein S21
ENSG00000170819	8419	HGNC:1041	3q22.1	Q13515	BFSP2	beaded filament structural protein 2
ENSG00000186468	6228	HGNC:10410	5q14.2	P62266	RPS23	ribosomal protein S23
ENSG00000138326	6229	HGNC:10411	10q22.3	P62847	RPS24	ribosomal protein S24
ENSG00000118181	6230	HGNC:10413	11q23.3	P62851	RPS25	ribosomal protein S25
ENSG00000197728	101929876	HGNC:10414	12q13.2	P62854	RPS26	ribosomal protein S26
ENSG00000197728	6231	HGNC:10414	12q13.2	P62854	RPS26	ribosomal protein S26
ENSG00000177954	6232	HGNC:10416	1q21.3	P42677	RPS27	ribosomal protein S27
ENSG00000143947	6233	HGNC:10417	2p16.1	P62979	RPS27A	ribosomal protein S27a
ENSG00000233927	6234	HGNC:10418	19p13.2	P62857	RPS28	ribosomal protein S28
ENSG00000213741	6235	HGNC:10419	14q21.3	P62273	RPS29	ribosomal protein S29
ENSG00000149273	6188	HGNC:10420	11q13.4	P23396	RPS3	ribosomal protein S3
ENSG00000145425	6189	HGNC:10421	4q31.3	P61247	RPS3A	ribosomal protein S3A
ENSG00000198034	6191	HGNC:10424	Xq13.1	P62701	RPS4X	ribosomal protein S4 X-linked
ENSG00000129824	6192	HGNC:10425	Yp11.2	P22090	RPS4Y1	ribosomal protein S4 Y-linked 1
ENSG00000083845	6193	HGNC:10426	19q13.4	P46782	RPS5	ribosomal protein S5
ENSG00000137154	6194	HGNC:10429	9p22.1	P62753	RPS6	ribosomal protein S6
ENSG00000242252	632	HGNC:1043	1q22	P02818	BGLAP	bone gamma-carboxyglutamate protein
ENSG00000117676	6195	HGNC:10430	1p36.11	Q15418	RPS6KA1	ribosomal protein S6 kinase A1
ENSG00000071242	6196	HGNC:10431	6q27	Q15349	RPS6KA2	ribosomal protein S6 kinase A2
ENSG00000177189	6197	HGNC:10432	Xp22.12	P51812	RPS6KA3	ribosomal protein S6 kinase A3
ENSG00000162302	8986	HGNC:10433	11q13.1	O75676	RPS6KA4	ribosomal protein S6 kinase A4
ENSG00000100784	9252	HGNC:10434	14q32.11	O75582	RPS6KA5	ribosomal protein S6 kinase A5
ENSG00000072133	27330	HGNC:10435	Xq21.1	Q9UK32	RPS6KA6	ribosomal protein S6 kinase A6
ENSG00000108443	6198	HGNC:10436	17q23.1	P23443	RPS6KB1	ribosomal protein S6 kinase B1
ENSG00000175634	6199	HGNC:10437	11q13.2	Q9UBS0	RPS6KB2	ribosomal protein S6 kinase B2
ENSG00000136643	26750	HGNC:10439	1q32.3	Q96S38	RPS6KC1	ribosomal protein S6 kinase C1
ENSG00000182492	633	HGNC:1044	Xq28	P21810	BGN	biglycan
ENSG00000171863	6201	HGNC:10440	2p25.3	P62081	RPS7	ribosomal protein S7
ENSG00000142937	6202	HGNC:10441	1p34.1	P62241	RPS8	ribosomal protein S8
ENSG00000170889	6203	HGNC:10442	19q13.42	P46781	RPS9	ribosomal protein S9
ENSG00000144580	9125	HGNC:10445	2q35	Q92600	CNOT9	CCR4-NOT transcription complex subunit 9
ENSG00000166592	6236	HGNC:10446	16q22.1	P55042	RRAD	RRAD, Ras related glycolysis inhibitor and calcium channel regulator
ENSG00000126458	6237	HGNC:10447	19q13.33	P10301	RRAS	RAS related
ENSG00000125844	6238	HGNC:10448	20p12.1	Q9P2E9	RRBP1	ribosome binding protein 1
ENSG00000124782	6239	HGNC:10449	6p24.3	Q92766	RREB1	ras responsive element binding protein 1
ENSG00000180245	10692	HGNC:10450	4q25	O14718	RRH	retinal pigment epithelium-derived rhodopsin homolog
ENSG00000167325	6240	HGNC:10451	11p15.4	P23921	RRM1	ribonucleotide reductase catalytic subunit M1
ENSG00000171848	6241	HGNC:10452	2p25.1	P31350	RRM2	ribonucleotide reductase regulatory subunit M2
ENSG00000102104	6247	HGNC:10457	Xp22.13	O15537	RS1	retinoschisin 1
ENSG00000134107	8553	HGNC:1046	3p26.1	O14503	BHLHE40	basic helix-loop-helix family member e40
ENSG00000130779	6249	HGNC:10461	12q24.31	P30622	CLIP1	CAP-Gly domain containing linker protein 1
ENSG00000148484	6251	HGNC:10464	10p13	Q15404	RSU1	Ras suppressor protein 1
ENSG00000114993	6242	HGNC:10466	2p13.1	Q9BST9	RTKN	rhotekin
ENSG00000139970	6252	HGNC:10467	14q23.1	Q16799	RTN1	reticulon 1
ENSG00000125744	6253	HGNC:10468	19q13.32	O75298	RTN2	reticulon 2
ENSG00000133318	10313	HGNC:10469	11q13	O95197	RTN3	reticulon 3
ENSG00000145692	635	HGNC:1047	5q14.1	Q93088	BHMT	betaine--homocysteine S-methyltransferase
ENSG00000159216	861	HGNC:10471	21q22.12	Q01196	RUNX1	runt related transcription factor 1
ENSG00000124813	860	HGNC:10472	6p21.1	Q13950	RUNX2	runt related transcription factor 2
ENSG00000020633	864	HGNC:10473	1p36.11	Q13761	RUNX3	runt related transcription factor 3
ENSG00000175792	8607	HGNC:10474	3q21.3	Q9Y265	RUVBL1	RuvB like AAA ATPase 1
ENSG00000183207	10856	HGNC:10475	19q13.33	Q9Y230	RUVBL2	RuvB like AAA ATPase 2
ENSG00000186350	6256	HGNC:10477	9q34.2	P19793	RXRA	retinoid X receptor alpha
ENSG00000204231	6257	HGNC:10478	6p21.32	P28702	RXRB	retinoid X receptor beta
ENSG00000143171	6258	HGNC:10479	1q23.3	P48443	RXRG	retinoid X receptor gamma
ENSG00000132840	23743	HGNC:1048	5q14.1	Q9H2M3	BHMT2	betaine--homocysteine S-methyltransferase 2
ENSG00000163602	23429	HGNC:10480	3p13	Q8N488	RYBP	RING1 and YY1 binding protein
ENSG00000163785	6259	HGNC:10481	3q22.2	P34925	RYK	receptor-like tyrosine kinase
ENSG00000196218	6261	HGNC:10483	19q13.2	P21817	RYR1	ryanodine receptor 1
ENSG00000198626	6262	HGNC:10484	1q43	Q92736	RYR2	ryanodine receptor 2
ENSG00000198838	6263	HGNC:10485	15q13.3-q14	Q15413	RYR3	ryanodine receptor 3
ENSG00000160678	6271	HGNC:10486	1q21.3	P23297	S100A1	S100 calcium binding protein A1
ENSG00000197747	6281	HGNC:10487	1q21.3	P60903	S100A10	S100 calcium binding protein A10
ENSG00000163191	6282	HGNC:10488	1q21.3	P31949	S100A11	S100 calcium binding protein A11
ENSG00000163221	6283	HGNC:10489	1q21.3	P80511	S100A12	S100 calcium binding protein A12
ENSG00000151746	636	HGNC:1049	12p11.21	Q96G01	BICD1	BICD cargo adaptor 1
ENSG00000189171	6284	HGNC:10490	1q21.3	Q99584	S100A13	S100 calcium binding protein A13
ENSG00000196754	6273	HGNC:10492	1q21.3	P29034	S100A2	S100 calcium binding protein A2
ENSG00000188015	6274	HGNC:10493	1q21.3	P33764	S100A3	S100 calcium binding protein A3
ENSG00000196154	6275	HGNC:10494	1q21.3	P26447	S100A4	S100 calcium binding protein A4
ENSG00000196420	6276	HGNC:10495	1q21.3	P33763	S100A5	S100 calcium binding protein A5
ENSG00000197956	6277	HGNC:10496	1q21.3	P06703	S100A6	S100 calcium binding protein A6
ENSG00000143556	6278	HGNC:10497	1q21.3	P31151	S100A7	S100 calcium binding protein A7
ENSG00000143546	6279	HGNC:10498	1q21.3	P05109	S100A8	S100 calcium binding protein A8
ENSG00000163220	6280	HGNC:10499	1q21.3	P06702	S100A9	S100 calcium binding protein A9
ENSG00000158158	26504	HGNC:105	2q11.2	Q6P4Q7	CNNM4	cyclin and CBS domain divalent metal cation transport mediator 4
ENSG00000015475	637	HGNC:1050	22q11.21	P55957	BID	BH3 interacting domain death agonist
ENSG00000160307	6285	HGNC:10500	21q22.3	P04271	S100B	S100 calcium binding protein B
ENSG00000163993	6286	HGNC:10504	4p16.1	P25815	S100P	S100 calcium binding protein P
ENSG00000100290	638	HGNC:1051	22q13.2	Q13323	BIK	BCL2 interacting killer
ENSG00000173432	6288	HGNC:10513	11p15.1	P0DJI8	SAA1	serum amyloid A1
ENSG00000134339	6289	HGNC:10514	11p15.1	P0DJI9	SAA2	serum amyloid A2
ENSG00000148965	6291	HGNC:10516	11p15.1	P35542	SAA4	serum amyloid A4, constitutive
ENSG00000223501	6293	HGNC:10518	6p21.32	Q8N1B4	VPS52	VPS52, GARP complex subunit
ENSG00000151835	26278	HGNC:10519	13q12.12	Q9NZJ4	SACS	sacsin molecular chaperone
ENSG00000136717	274	HGNC:1052	2q14.3	O00499	BIN1	bridging integrator 1
ENSG00000160633	6294	HGNC:10520	19p13.3	Q15424	SAFB	scaffold attachment factor B
ENSG00000130561	6295	HGNC:10521	2q37.1	P10523	SAG	S-antigen visual arrestin
ENSG00000005187	6296	HGNC:10522	16p12.3	Q53FZ2	ACSM3	acyl-CoA synthetase medium chain family member 3
ENSG00000103449	6299	HGNC:10524	16q12.1	Q9NSC2	SALL1	spalt like transcription factor 1
ENSG00000165821	6297	HGNC:10526	14q11.2	Q9Y467	SALL2	spalt like transcription factor 2
ENSG00000256463	27164	HGNC:10527	18q23	Q9BXA9	SALL3	spalt like transcription factor 3
ENSG00000155307	388813	HGNC:10528	21q11.2	Q9NSI8	SAMSN1	SAM domain, SH3 domain and nuclear localization signals 1
ENSG00000155307	64092	HGNC:10528	21q11.2	Q9NSI8	SAMSN1	SAM domain, SH3 domain and nuclear localization signals 1
ENSG00000110934	51411	HGNC:1053	12q13.13	Q9UBW5	BIN2	bridging integrator 2
ENSG00000150459	10284	HGNC:10530	13q12.11	O00422	SAP18	Sin3A associated protein 18
ENSG00000164105	8819	HGNC:10532	4q34.1	O75446	SAP30	Sin3A associated protein 30
ENSG00000079332	56681	HGNC:10534	10q22.1	Q9NR31	SAR1A	secretion associated Ras related GTPase 1A
ENSG00000152700	51128	HGNC:10535	5q31.1	Q9Y6B6	SAR1B	secretion associated Ras related GTPase 1B
ENSG00000123453	1757	HGNC:10536	9q34.2	Q9UL12	SARDH	sarcosine dehydrogenase
ENSG00000031698	6301	HGNC:10537	1p13.3	P49591	SARS	seryl-tRNA synthetase
ENSG00000175467	9092	HGNC:10538	11q13.1	O43290	SART1	spliceosome associated factor 1, recruiter of U4/U6.U5 tri-snRNP
ENSG00000135452	6302	HGNC:10539	12q14.1	Q12999	TSPAN31	tetraspanin 31
ENSG00000147439	55909	HGNC:1054	8p21.3	Q9NQY0	BIN3	bridging integrator 3
ENSG00000130066	6303	HGNC:10540	Xp22.11	P21673	SAT1	spermidine/spermine N1-acetyltransferase 1
ENSG00000182568	6304	HGNC:10541	3p24.3	Q01826	SATB1	SATB homeobox 1
ENSG00000100241	6305	HGNC:10542	22q13.33	O95248	SBF1	SET binding factor 1
ENSG00000052802	6307	HGNC:10545	4q32.3	Q15800	MSMO1	methylsterol monooxygenase 1
ENSG00000109929	6309	HGNC:10547	11q23.3-q24.1	O75845	SC5D	sterol-C5-desaturase
ENSG00000124788	6310	HGNC:10548	6p22.3	P54253	ATXN1	ataxin 1
ENSG00000130638	25814	HGNC:10549	22q13.31	Q9UBB4	ATXN10	ataxin 10
ENSG00000166619	10904	HGNC:1055	20q11.23	P62952	BLCAP	BLCAP, apoptosis inducing factor
ENSG00000204842	6311	HGNC:10555	12q24.12	Q99700	ATXN2	ataxin 2
ENSG00000163635	6314	HGNC:10560	3p14.1	O15265	ATXN7	ataxin 7
ENSG00000085365	9522	HGNC:10563	5q14.1	O15126	SCAMP1	secretory carrier membrane protein 1
ENSG00000140497	10066	HGNC:10564	15q24.1	O15127	SCAMP2	secretory carrier membrane protein 2
ENSG00000116521	10067	HGNC:10565	1q22	O14828	SCAMP3	secretory carrier membrane protein 3
ENSG00000171222	51282	HGNC:10566	20q11.23	P57086	SCAND1	SCAN domain containing 1
